country,advisory,passport,visas,link,updated
Lebanon,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Lebanon.,Canadians must be in possession of a visa to visit Lebanon. Visas are available at Lebanese diplomatic missions abroad or at any port of entry into Lebanon.,https://travel.gc.ca/destinations/lebanon,2020-07-15 14:45:38
Lesotho,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you enter Lesotho.,Canadians do not require a visa for stays up to 14 days.,https://travel.gc.ca/destinations/lesotho,2020-07-15 14:45:38
Liberia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Liberia.,Tourist visa: required,https://travel.gc.ca/destinations/liberia,2020-07-15 14:45:38
Libya,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Libya.,Canadians must be in possession of a visa to visit Libya. You may have difficulties obtaining a visa if your passport expires before the visa’s 6-month validity period expires.,https://travel.gc.ca/destinations/libya,2020-07-15 14:45:38
Liechtenstein,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days*,https://travel.gc.ca/destinations/liechtenstein,2020-07-15 14:45:38
Lithuania,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays up to 90 days*
Student visa: required
Work permit: required",https://travel.gc.ca/destinations/lithuania,2020-07-03 10:51:29
Luxembourg,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays up to 90 days*
Business visa: not required for stays up 90 days*
Student visa: required",https://travel.gc.ca/destinations/luxembourg,2020-07-03 10:51:29
Macao,Take normal security precautions,Your passport must be valid for at least 30 days beyond the date of expected departure from Macao.,"A visa is not required for stays of fewer than 30 days. For longer stays, you must apply for an extension of stay, which must be approved by the Immigration Department of the Macao SAR.",https://travel.gc.ca/destinations/macao,2020-07-15 14:45:38
Madagascar,Exercise a high degree of caution,Your passport must be valid for at least 6 months after the date you enter Madagascar.,Canadians must also be in possession of a visa and a round-trip ticket.,https://travel.gc.ca/destinations/madagascar,2020-07-15 14:45:38
Malawi,Exercise a high degree of caution,Your passport must be valid for at least six months beyond the date you expect to leave Malawi.,"Tourist visa: Required 
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/malawi,2020-07-15 16:24:51
Malaysia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Malaysia.,"Tourist visa: Not required (for stays of up to 90 days) 
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/malaysia,2020-06-16 14:34:23
Maldives,Exercise a high degree of caution,Your passport must be valid for at least 6 months from your date of entry in the Maldives.,"Tourist visa: Required (issued upon arrival)
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/maldives,2020-07-15 14:45:38
Mali,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Mali.,You must have a visa to visit Mali. You should obtain prior to arrival.,https://travel.gc.ca/destinations/mali,2020-07-15 14:45:38
Malta,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays up to 90 days*
Business visa: not required for stays up to 90 days
Student visa: not required for stays up to 90 days",https://travel.gc.ca/destinations/malta,2020-07-03 10:51:29
Marshall Islands,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave the Marshall Islands.,"Tourist visa: Required
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/marshall-islands,2020-07-15 14:45:38
Martinique,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Martinique.,"Tourist visa: Not required for stays up to 90 days
Long-stay or residency visa: Required for stays longer than 90 days
Professional visa: Required
Student visa: Required",https://travel.gc.ca/destinations/martinique,2020-07-15 15:50:09
Mauritania,Avoid non-essential travel,Your passport must be valid when you enter Mauritania.,Canadians can obtain a visa prior to or upon arriving in Mauritania.,https://travel.gc.ca/destinations/mauritania,2020-07-15 14:45:38
Mauritius,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Mauritius.,"Tourist visa: Not required for stays of less than 90 days
Student visa: Required
Work permit: Required",https://travel.gc.ca/destinations/mauritius,2020-07-15 14:45:38
Mayotte,Take normal security precautions,Your passport must be valid for the duration of your stay.,"Tourist visa: Not required for stays up to 90 days
Long-stay visa: Required if stays exceed 90 days
Student/work visa: Required",https://travel.gc.ca/destinations/mayotte,2020-07-15 15:58:05
Mexico,Exercise a high degree of caution,"Your passport must be valid for the expected duration of your stay in Mexico.Permanent residents of Canada must consult Mexico’s immigration agency, for specific entry requirements.Instituto Nacional de Migración (INM) - Mexico's immigration agency (in Spanish)","Tourist visa: not required
Business visa: required 
Work visa: required 
Student visa: required",https://travel.gc.ca/destinations/mexico,2020-07-15 14:45:38
Micronesia (FSM),Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Micronesia.,Tourist visa: Not required for stays of up to 30 days,https://travel.gc.ca/destinations/micronesia-fsm,2020-07-15 14:45:38
Moldova,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave from Moldova.,"Tourist visa: not required for up to 90 days per 6-month period
Business visa: not required for up to 90 days per 6-month period
Student visa: not required for up to 90 days per 6-month period",https://travel.gc.ca/destinations/moldova,2020-07-15 14:45:38
Monaco,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Monaco.,Tourist visa: Not required for stays up to 90 days*,https://travel.gc.ca/destinations/monaco,2020-07-15 14:45:38
Mongolia,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Mongolia.,Tourist visa: Not required for stays of up to 30 days,https://travel.gc.ca/destinations/mongolia,2020-07-14 16:22:29
Montenegro,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave from Montenegro.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/montenegro,2020-07-15 14:45:38
Montserrat,Take normal security precautions,"Your passport must be valid for the expected duration of your stay in Montserrat. You must also comply with entry requirements for the United States, if transiting through that country.","Tourist visa: Not required
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/montserrat,2020-07-15 14:45:38
Morocco,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Morocco.,"Tourist visa: Not required for stays of less than 90 days
Business visa: Not required for stays of less than 90 days
Student visa: Not required for stays of less than 90 days",https://travel.gc.ca/destinations/morocco,2020-07-15 14:45:38
Mozambique,Exercise a high degree of caution,Your passport must be valid at least 6 months beyond the date you expect to leave Mozambique.,Canadians must have a visa.,https://travel.gc.ca/destinations/mozambique,2020-07-15 14:45:38
Myanmar,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Myanmar.,A visa is required for tourism and business purposes. It should be obtained prior to travel at a Myanmar diplomatic mission. An eVisa option and multiple-entry business visas are available.,https://travel.gc.ca/destinations/myanmar,2020-06-16 14:34:23
Namibia,Exercise a high degree of caution,Your passport must be valid for a minimum of 6 months after the date you enter Namibia.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up to 90 days
Student visa: Required
Employment visa: Required",https://travel.gc.ca/destinations/namibia,2020-07-15 14:45:38
Nauru,Take normal security precautions,Your passport must be valid for at least 3 months beyond your date of entry into Nauru.,Canadians must obtain a visa prior to travelling to Nauru.,https://travel.gc.ca/destinations/nauru,2020-07-15 14:45:38
Nepal,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Nepal.,"Tourist visa: Required (valid for up to 60 days)
Business visa: Required (only issued in Nepal)
Student visa: Required",https://travel.gc.ca/destinations/nepal,2020-07-07 14:44:01
Netherlands,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/netherlands,2020-07-03 10:51:29
New Caledonia,Take normal security precautions,Your passport must be valid at least 6 months beyond the date you expect to leave New Caledonia.,"Tourist visa: Not required for stays up to 90 days
Long-stay or residency visa: Required for stays more than 90 days
Work visa: Required
Student visa: Required",https://travel.gc.ca/destinations/new-caledonia,2020-07-15 15:54:42
New Zealand,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from New Zealand.,"Tourist visa: Not required (for stays of up to 90 days)
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/new-zealand,2020-07-15 14:45:38
Nicaragua,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Nicaragua.,"Tourist visa: not required for stays of up to 90 days*
Business visa: not required*
Student visa: not required*",https://travel.gc.ca/destinations/nicaragua,2020-07-15 14:45:38
Niger,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Niger.,"Prior to your travel, Canadians must obtain a visa to visit Niger.",https://travel.gc.ca/destinations/niger,2020-07-15 14:45:38
Nigeria,Avoid non-essential travel,Your passport must be valid for at least six months beyond the date you expect to leave Nigeria.,Canadians must have a visa to visit Nigeria.,https://travel.gc.ca/destinations/nigeria,2020-07-15 14:45:38
Niue,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Niue.,"Tourist visa: Not required for stays up to 30 days
Business visa: Not required for stays up to 30 days",https://travel.gc.ca/destinations/niue,2020-07-15 14:45:38
North Korea,Avoid all travel,Your passport must be valid at least 6 months beyond the date you expect to leave North Korea.,Canadians must have a visa to enter North Korea. You can obtain a visa from a North Korean mission in a third country after approval from the government in Pyongyang. The process for obtaining visas can be extremely slow and arduous.,https://travel.gc.ca/destinations/north-korea,2020-07-15 14:45:38
North Macedonia,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave from North Macedonia.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/north-macedonia,2020-07-15 14:45:38
Northern Marianas,Take normal security precautions,,,https://travel.gc.ca/destinations/northern-marianas,2020-07-15 14:45:38
Norway,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays up to 90 days*
Business visa: not required
Work visa: employment authorization must be obtained outside of Norway, prior to arrival. 
Student visa: not required for stays up to 90 days",https://travel.gc.ca/destinations/norway,2020-07-15 14:45:38
Oman,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date of entry to Oman.,Canadians need a visa to visit Oman.,https://travel.gc.ca/destinations/oman,2020-07-15 14:45:38
Pakistan,Avoid non-essential travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Pakistan.,Canadians must be in possession of a visa to visit Pakistan.,https://travel.gc.ca/destinations/pakistan,2020-07-15 14:45:38
Palau,Take normal security precautions,,"Visas are issued upon arrival at the airport.

Stays beyond 30 days must be approved by Palau’s Chief of Immigration and cost US$50.",https://travel.gc.ca/destinations/palau,2020-07-15 14:45:38
Panama,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Panama.,"Tourist visa: Not required
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/panama,2020-07-15 14:45:38
Papua New Guinea,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Papua New Guinea.,"Tourist visa: Required 
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/papua-new-guinea,2020-07-15 14:45:38
Paraguay,Exercise a high degree of caution,Your passport must be valid expected duration of your stay in Paraguay.Ensure that your passport is stamped by an immigration official if entering Paraguay overland or you will receive a heavy fine when leaving the country.,"Tourist visa: required 
Business visa: required 
Student visa: required",https://travel.gc.ca/destinations/paraguay,2020-07-15 14:45:38
Peru,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Peru.,"Tourist visa: Not required
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/peru,2020-07-15 14:45:38
Philippines,Exercise a high degree of caution,Your passport must be valid for the duration of your stay.,"Tourist visa: Not required for stays of up to 30 days
Business visa: Not required for stays of up to 30 days
Student visa: Required",https://travel.gc.ca/destinations/philippines,2020-07-03 12:47:49
Poland,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days*,https://travel.gc.ca/destinations/poland,2020-07-03 10:51:29
Portugal,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days (see Schengen area for details),https://travel.gc.ca/destinations/portugal,2020-07-03 10:51:29
Puerto Rico,Take normal security precautions,,,https://travel.gc.ca/destinations/puerto-rico,2020-07-15 14:45:38
Qatar,Take normal security precautions,Your passport must be valid at least 6 months beyond the date you expect to leave Qatar.,"Canadians must have a visa to visit Qatar, which they can obtain when they arrive. Visas are valid for 30 days",https://travel.gc.ca/destinations/qatar,2020-07-15 14:45:38
Republic of Congo (Brazzaville),Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave the Republic of Congo.,Canadians must obtain a visa.,https://travel.gc.ca/destinations/congo-brazzaville,2020-07-15 14:45:38
Romania,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from Romania.,Tourist visa: Not required for stays up to 90 days within any 180-day period,https://travel.gc.ca/destinations/romania,2020-07-03 10:51:29
Russia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Russia.,"Canadians must be in possession of a visa to visit Russia. Visa applications must be submitted electronically, via the Embassy of the Russian Federation’s website.",https://travel.gc.ca/destinations/russia,2020-07-15 14:45:38
Rwanda,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Rwanda.,Canadians must be in possession of a visa to visit Rwanda.,https://travel.gc.ca/destinations/rwanda,2020-07-15 14:45:38
Réunion,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Réunion.,Visa requirements are the same as those of France.,https://travel.gc.ca/destinations/reunion,2020-07-15 15:44:46
Saint Kitts and Nevis,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Saint Kitts and Nevis.,"Tourist visa: Not required
Business visa: Not required
Student visa: Required",https://travel.gc.ca/destinations/saint-kitts-and-nevis,2020-07-15 14:45:38
Saint Lucia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Saint Lucia.,"Tourist visa: Not required (for stays up to 42 days)
Business visa: Not required 
Student visa: Not required",https://travel.gc.ca/destinations/saint-lucia,2020-07-15 14:45:38
Saint Martin,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Saint Martin.,"Tourist visa: not required for stays up to 90 days
Long-stay or residency visa: required for stays more than 90 days
Professional visa: required
Student visa: required",https://travel.gc.ca/destinations/saint-martin,2020-07-15 15:51:38
Saint Vincent & the Grenadines,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Saint Vincent and the Grenadines.,"Tourist visa: Not required for stays up to one month
Business visa: Not required for stays up to one month
Student visa: Not required for stays up to one month",https://travel.gc.ca/destinations/saint-vincent-the-grenadines,2020-07-15 14:45:38
Saint-Barthélemy,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave Saint-Barthélemy.,"Tourist visa: Not required for stays up to 90 days within a six-month period
Professional visa: Required
Student visa: Required",https://travel.gc.ca/destinations/saint-barthelemy,2020-07-15 15:43:28
Saint-Pierre-et-Miquelon,Take normal security precautions,"Your passport must be valid for at least 3 months beyond the expiration date of your visa, if you are staying longer than 90 days.If arriving directly from Canada and staying fewer than 90 days, presenting official photo identification, such as a citizenship card, a driver’s licence or a student card, is also acceptable.","Tourist visa: not required for stays up to 3 months within any 6-month period
Long stay or residency visa: required*",https://travel.gc.ca/destinations/saint-pierre-et-miquelon,2020-07-15 15:46:31
Samoa,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Samoa.,,https://travel.gc.ca/destinations/samoa,2020-07-15 14:45:38
San Marino,Take normal security precautions,,"San Marino does not issue entrance visas. If you plan to stay more than 10 days, you must report to the Gendarmerie of San Marino to obtain a permit.",https://travel.gc.ca/destinations/san-marino,2020-07-15 14:45:38
Sao Tome and Principe,Take normal security precautions,Your passport must be valid for the duration of your stay.,"Tourist visa: Not required for stays of less than 15 days
Business visa: Required
Student visa: A tourist visa is issued to students",https://travel.gc.ca/destinations/sao-tome-and-principe,2020-07-15 14:45:38
Saudi Arabia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Saudi Arabia.,"You must obtain a visa to visit Saudi Arabia. Overstaying your visa will result in large fines. All visa applications, with the exception of applications for tourist visas, must be sponsored by a Saudi citizen, a travel agency or an organization.",https://travel.gc.ca/destinations/saudi-arabia,2020-07-15 14:45:38
Senegal,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Senegal.,"Tourist visa: Not required (for stays of less than 90 days)
Business visa: Not required (for stays of less than 90 days)
Student visa: Not required (for stays of less than 90 days)",https://travel.gc.ca/destinations/senegal,2020-07-15 14:45:38
Serbia,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Serbia.It is important to get your passport stamped when you first enter Serbia. The absence of an entry stamp from the point of entry could create difficulties at the time of departure from the country. Ensure you also obtain an exit stamp to avoid complications if you intend to return.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up to 90 days
Student visa: Not required for stays up to 90 days",https://travel.gc.ca/destinations/serbia,2020-07-15 14:45:38
Seychelles,Take normal security precautions,Your passport must be valid for the duration of your stay.,"Tourist visa: Not required (for stays less than 90 days)
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/seychelles,2020-07-15 14:45:38
Sierra Leone,Exercise a high degree of caution,Your passport must be valid upon entry.,Canadians must be in possession of a visa to visit Sierra Leone.,https://travel.gc.ca/destinations/sierra-leone,2020-07-15 14:45:38
Singapore,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Singapore.,"Tourist visa: Not required (for stays of up to 30 days)
Business visa: Not required (for stays of up to 30 days)
Student visa: Required",https://travel.gc.ca/destinations/singapore,2020-06-16 14:34:23
Sint Maarten,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Sint Maarten. Permanent residents of Canada must travel with their Permanent Resident Card and a valid passport from their country of origin.,"Tourist visa: not required (for stays of up to 3 months)
Business visa: not required
Work permit: required
Student visa: required",https://travel.gc.ca/destinations/sint-maarten,2020-07-15 14:45:38
Slovakia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: Not required for stays up to 90 days* Business visa: Not required for stays up to 90 days
Student visa: Not required for stays up to 90 days",https://travel.gc.ca/destinations/slovakia,2020-07-03 10:51:29
Slovenia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: not required for stays up to 90 days*,https://travel.gc.ca/destinations/slovenia,2020-07-03 10:51:29
Solomon Islands,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave the Solomon Islands.,Tourist visa: Not required for stays of up to 90 days,https://travel.gc.ca/destinations/solomon-islands,2020-07-15 14:45:38
Somalia,Avoid all travel,Your passport must be valid upon entry.,"You need a visa to visit those areas under the authority of the Transitional Federal Government (TFG), Somaliland and Puntland.",https://travel.gc.ca/destinations/somalia,2020-07-15 14:45:38
South Africa,Exercise a high degree of caution,"Your passport must be valid for at least 30 days beyond the date you expect to leave South Africa. Your passport must contain at least 2 empty visa pages for the necessary South African Temporary Residence Permit. Without it, you will be denied entry into the country.You may also be denied boarding at the point of departure if you don’t have enough blank pages for the visa. If you plan to visit neighbouring countries and return to South Africa, ensure that there are sufficient visa pages in your passport for those countries’ visas and those of South Africa.","Canadians do not need a tourist visa to enter South Africa. However, upon arrival, immigration officials will issue a temporary residents visa (TRV) for up to 90 days. Check the expiry date of your TRV to ensure you don’t overstay.",https://travel.gc.ca/destinations/south-africa,2020-07-15 14:45:38
South Korea,Take normal security precautions,Your passport must be valid beyond the date of expected departure from South Korea.,"Tourist visa: Required
Business visa: Required
Student visa: Required
Working visa: Required (must be obtained outside South Korea)",https://travel.gc.ca/destinations/south-korea,2020-07-14 16:25:19
South Sudan,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave South Sudan.,"Canadians must be in possession of a visa, which should be obtained prior to departure.  Visas are not granted automatically to prospective travellers.",https://travel.gc.ca/destinations/south-sudan,2020-07-15 14:45:38
Spain,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days in any 180-day period,https://travel.gc.ca/destinations/spain,2020-07-03 10:51:29
Sri Lanka,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Sri Lanka.,Canadians must be in possession of a valid visa to visit Sri Lanka.,https://travel.gc.ca/destinations/sri-lanka,2020-07-15 14:45:38
Sudan,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Sudan.,"Tourist visa: required
Business visa: required
Student visa: required
Transit visa: required",https://travel.gc.ca/destinations/sudan,2020-07-15 14:45:38
Suriname,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you arrive in Suriname.,"Tourist visa: Not required
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/suriname,2020-07-15 14:45:38
Sweden,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days in any 180-day period,https://travel.gc.ca/destinations/sweden,2020-07-03 10:51:29
Switzerland,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days*,https://travel.gc.ca/destinations/switzerland,2020-07-15 14:45:38
Syria,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Syria.,Canadians must be in possession of a visa to visit Syria.,https://travel.gc.ca/destinations/syria,2020-07-15 14:45:38
Taiwan,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Taiwan.,"Canadian passport holders do not require tourist or business visas for stays of up to 90 days. Once in Taiwan, they may extend their stay for an additional 90 days by placing a request with the Taiwanese Bureau of Consular Affairs. Canadians planning to stay in Taiwan for more than 180 days should obtain a visa before they arrive.",https://travel.gc.ca/destinations/taiwan,2020-06-16 14:34:23
Tajikistan,Exercise a high degree of caution,"Your passport must be valid for at least 6 months following the issuance of the visa, and for 60 days beyond the date of entry into Tajikistan.",You must have a visa to visit Tajikistan.,https://travel.gc.ca/destinations/tajikistan,2020-07-15 14:45:38
Tanzania,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Tanzania.,"Tourist visa: required
Business visa: required
Student visa: required
Work/volunteer visa: required",https://travel.gc.ca/destinations/tanzania,2020-07-15 14:45:38
Thailand,Exercise a high degree of caution,"Your passport must be valid for at least 6 months beyond the date you expect to leave from Thailand. Thai immigration is strict on the physical condition of the passport. If they find some defects such as an unclear bio page, a missing page or scribbles, they can consider the passport damaged and refuse entry to Thailand.","Tourist visa: Not required for stays of up to 30 days 
Business visa: Required 
Student visa: Required 
Working visa: Required",https://travel.gc.ca/destinations/thailand,2020-06-23 12:35:08
Timor-Leste (East Timor),Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Timor-Leste. It must contain at least one blank page for the placement of a visa.,"You can obtain a visa on arrival at Dili’s international airport and the Port of Dili, based on the purpose and length of the intended stay. You must pay an entry fee of US$30 for a visit of up to 30 days.",https://travel.gc.ca/destinations/timor-leste-east-timor,2020-07-15 14:45:38
Togo,Exercise a high degree of caution,Your passport must be valid upon arrival.,Canadians must be in possession of a visa to visit Togo.,https://travel.gc.ca/destinations/togo,2020-07-15 14:45:38
Tokelau,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Tokelau.,"Canadians do not need a visa but do require a permit issued by the Tokelau Apia Liaison Office in Apia, Samoa.",https://travel.gc.ca/destinations/tokelau,2020-07-15 14:45:38
Tonga,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Tonga.,Tourist visas are issued upon arrival. All other visas must be obtained before arrival.,https://travel.gc.ca/destinations/tonga,2020-07-15 14:45:38
Trinidad and Tobago,Exercise a high degree of caution,Your passport must be valid for the expected duration of your stay in Trinidad and Tobago.,"Tourist visa: Not required (for less than 90 days)
Business visa: Not required (for less than 30 days)
Student visa: Required",https://travel.gc.ca/destinations/trinidad-and-tobago,2020-07-15 14:45:38
Tunisia,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave Tunisia.,"Tourist visa: Not required
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/tunisia,2020-07-15 14:45:38
Turkey,Exercise a high degree of caution,"Your passport must be valid for at least 60 days beyond the duration of stay indicated on your visa, e-Visa, visa exemption or residence permit.","Work visa: Required
Tourism visa: Required Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/turkey,2020-07-15 14:45:38
Turkmenistan,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date on your letter of invitation.,Canadians must be in possession of a visa to visit Turkmenistan.,https://travel.gc.ca/destinations/turkmenistan,2020-07-15 14:45:38
Turks and Caicos Islands,Take normal security precautions,Your passport must be valid to visit Turks and Caicos Islands.,"Tourist visa: not required for stays up to 90 days
Business visa: required
Student visa: required
Work permit: required",https://travel.gc.ca/destinations/turks-and-caicos-islands,2020-07-15 14:45:38
Tuvalu,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Tuvalu.,"Tourist visa: Required
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/tuvalu,2020-07-15 14:45:38
Uganda,Exercise a high degree of caution,,Canadians must be in possession of a visa to enter Uganda.,https://travel.gc.ca/destinations/uganda,2020-07-15 14:45:38
Ukraine,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Ukraine.,Tourist visa: Not required for stays up to 90 days within a 180-day period,https://travel.gc.ca/destinations/ukraine,2020-07-15 14:45:38
United Arab Emirates,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond their date of entry into the United Arab Emirates.,"Tourist visa: Not required
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/united-arab-emirates,2020-07-15 14:45:38
United Kingdom,Exercise a high degree of caution,"Your passport must be valid for at least the expected duration of your stay in the U.K. This requirement may also apply when travelling to Northern Ireland from other parts of the United Kingdom, and vice versa.","Canadians needing any type of visa should consult UK Visas and Immigration to ensure that they apply for the proper visa and have the appropriate documents for the purpose of their visit (for example, marriage, employment, study), as well as to find out if they will be required to pay a health-care surcharge. Canadians planning to work or volunteer in the United Kingdom for any period of time are required to have a work permit.",https://travel.gc.ca/destinations/united-kingdom,2020-07-15 14:45:38
United States,Take normal security precautions,,Canadian visitors can usually stay in the United States for 6 months without a visa. You must declare your intended duration of stay upon entry into the United States.,https://travel.gc.ca/destinations/united-states,2020-07-15 14:45:38
Uruguay,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Uruguay.,"Tourist visa: Not required
Business visa: Not required
Student visa: Required",https://travel.gc.ca/destinations/uruguay,2020-07-15 14:45:38
Uzbekistan,Exercise a high degree of caution,Your passport must be valid for the length of your stay.,You must obtain a visa before arriving in Uzbekistan for stays longer than 30 days.,https://travel.gc.ca/destinations/uzbekistan,2020-07-15 14:45:38
Vanuatu,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date of expected departure from Vanuatu.,"Tourist visa: Not required (for stays less than 30 days)
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/vanuatu,2020-07-15 14:45:38
Venezuela,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Venezuela.,"Tourist visa: required
Business visa: required
Work visa: required
Student visa: required",https://travel.gc.ca/destinations/venezuela,2020-07-15 14:45:38
